,,,,,Games,Games,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles
Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
1,Budda Baker *\BakeBu00,ARI,23,FS,16,16,0,55,40,72.7%,506,12.7,9.2,4,125.3,8.1,298,208,44,3,1,0.5,5,147,11,7.0%
2,Zach Cunningham\CunnZa00,HOU,25,RILB,16,16,0,49,38,77.6%,319,8.4,6.5,2,107.4,3.0,26,293,52,2,0,2.0,5,142,11,7.2%
3,Blake Martinez\MartBl01,GNB,25,IL/LILB,16,16,1,74,62,83.8%,570,9.2,7.7,2,102.1,4.1,231,339,24,2,0,3.0,5,155,18,10.4%
4,Eric Reid\ReidEr00,CAR,28,SS,16,16,0,70,54,77.1%,750,13.9,10.7,8,149.1,8.9,423,327,43,3,1,4.0,8,130,9,6.5%
5,Jordan Hicks\HickJo00,ARI,27,RILB,16,16,3,69,54,78.3%,612,11.3,8.9,3,100.0,5.6,297,315,86,1,4,1.5,7,150,18,10.7%
6,Joe Schobert\SchoJo00,CLE,26,ML/MLB,16,16,4,55,38,69.1%,357,9.4,6.5,3,74.6,7.1,208,149,74,1,2,2.0,5,133,16,10.7%
7,Fred Warner\WarnFr00,SFO,23,MLB,16,16,1,74,49,66.2%,454,9.3,6.1,2,86.2,3.7,158,296,35,3,1,3.0,7,118,17,12.6%
8,Demario Davis +\DaviDe00,NOR,30,LLB,16,16,1,72,49,68.1%,313,6.4,4.3,1,75.8,3.8,125,188,104,6,4,4.0,15,111,5,4.3%
9,Bobby Wagner*+\WagnBo00,SEA,29,MLB,16,16,1,72,58,80.6%,657,11.3,9.1,2,108.2,3.9,229,428,71,1,2,3.0,6,159,10,5.9%
10,Anthony Walker\WalkAn01,IND,24,MLB,16,16,1,61,49,80.3%,369,7.5,6.0,3,101.4,3.6,130,239,31,0,1,2.5,4,124,11,8.1%
11,Jaylon Smith*\SmitJa05,DAL,24,MLB,16,16,1,70,54,77.1%,460,8.5,6.6,3,102.1,4.7,214,246,46,1,0,2.5,4,142,12,7.8%
12,Lavonte David\DaviLa00,TAM,29,RILB,16,16,1,90,57,63.3%,491,8.6,5.5,0,73.0,4.0,260,231,70,4,6,1.0,12,123,10,7.5%
13,Tracy Walker\WalkTr01,DET,24,FS,13,12,1,57,37,64.9%,535,14.5,9.4,5,117.2,12.5,357,178,3,1,0,0.0,1,103,13,11.2%
14,Antoine Bethea\BethAn20,NYG,35,FS,16,16,1,40,29,72.5%,497,17.1,12.4,7,143.4,11.9,329,168,7,0,0,0.0,0,110,11,9.1%
15,Luke Kuechly*\KuecLu00,CAR,28,IL/RILB,16,16,2,68,46,67.6%,395,8.6,5.8,1,75.3,5.9,201,194,25,2,3,0.0,5,144,10,6.5%
16,Shawn Williams\WillSh02,CIN,28,SS,16,15,1,51,40,78.4%,577,14.4,11.3,2,118.7,9.7,384,193,47,2,2,1.0,5,114,20,14.9%
17,Tahir Whitehead\WhitTa00,OAK,29,LLB,16,16,0,66,52,78.8%,688,13.2,10.4,6,140.4,7.2,340,348,25,1,1,0.0,2,108,5,4.4%
18,Landon Collins\CollLa00,WAS,25,SS,15,15,0,67,47,70.1%,467,9.9,7.0,5,114.5,8.1,253,214,27,1,1,1.0,3,117,16,12.0%
19,Todd Davis\DaviTo01,DEN,27,RILB,14,14,0,79,61,77.2%,526,8.6,6.7,3,106.8,3.4,220,306,24,2,1,0.0,3,134,6,4.3%
20,Cory Littleton\LittCo01,LAR,26,IL/RILB,16,16,2,85,61,71.8%,535,8.8,6.3,4,94.0,4.0,242,293,64,2,1,3.5,7,134,5,3.6%
21,Jerome Baker\BakeJe00,MIA,23,ROLB,16,15,1,49,37,75.5%,402,10.9,8.2,1,97.5,6.1,173,229,75,3,3,1.5,8,126,6,4.5%
22,De'Vondre Campbell\CampDe00,ATL,26,LLB,16,15,2,61,50,82.0%,462,9.2,7.6,3,101.0,6.2,239,223,65,2,0,2.0,4,129,7,5.1%
23,Shaq Thompson\ThomSh01,CAR,25,LILB,14,14,0,79,57,72.2%,466,8.2,5.9,2,95.2,3.2,142,324,46,2,2,3.0,7,109,11,9.2%
24,Cole Holcomb\HolcCo00,WAS,23,LILB,16,15,0,43,36,83.7%,343,9.5,8.0,2,115.4,3.0,82,261,25,4,1,1.0,7,105,12,10.3%
25,Logan Ryan\RyanLo00,TEN,28,CB/LCB,16,16,4,103,68,66.0%,781,11.5,7.6,5,88.7,9.9,480,301,40,3,2,4.5,10,113,11,8.9%
